date,video,video_title,average_percentage_viewed
2019-07-11,TI6sY0kCPpk,What is String Theory?,0
2019-07-12,TI6sY0kCPpk,What is String Theory?,0
2019-07-13,TI6sY0kCPpk,What is String Theory?,0
2019-07-14,TI6sY0kCPpk,What is String Theory?,0
2019-07-15,TI6sY0kCPpk,What is String Theory?,0
2019-07-16,TI6sY0kCPpk,What is String Theory?,0
2019-07-17,TI6sY0kCPpk,What is String Theory?,0
2019-07-18,TI6sY0kCPpk,What is String Theory?,0
2019-07-19,TI6sY0kCPpk,What is String Theory?,0
2019-07-20,TI6sY0kCPpk,What is String Theory?,0
2019-07-21,TI6sY0kCPpk,What is String Theory?,0
2019-07-22,TI6sY0kCPpk,What is String Theory?,0
2019-07-23,TI6sY0kCPpk,What is String Theory?,32.6883
2019-07-24,TI6sY0kCPpk,What is String Theory?,0
2019-07-25,TI6sY0kCPpk,What is String Theory?,77.297
2019-07-26,TI6sY0kCPpk,What is String Theory?,77.5232
2019-07-27,TI6sY0kCPpk,What is String Theory?,75.5022
2019-07-28,TI6sY0kCPpk,What is String Theory?,74.3384
2019-07-29,TI6sY0kCPpk,What is String Theory?,71.0523
2019-07-30,TI6sY0kCPpk,What is String Theory?,75.2574
2019-07-31,TI6sY0kCPpk,What is String Theory?,75.5998
2019-08-01,TI6sY0kCPpk,What is String Theory?,74.2168
2019-08-02,TI6sY0kCPpk,What is String Theory?,71.6806
2019-08-03,TI6sY0kCPpk,What is String Theory?,72.0082
2019-08-04,TI6sY0kCPpk,What is String Theory?,71.5266
2019-08-05,TI6sY0kCPpk,What is String Theory?,71.485
2019-08-06,TI6sY0kCPpk,What is String Theory?,69.4426
2019-08-07,TI6sY0kCPpk,What is String Theory?,68.6535
2019-08-08,TI6sY0kCPpk,What is String Theory?,67.7026
2019-08-09,TI6sY0kCPpk,What is String Theory?,66.7638
2019-08-10,TI6sY0kCPpk,What is String Theory?,67.2588
2019-08-11,TI6sY0kCPpk,What is String Theory?,68.7878
2019-08-12,TI6sY0kCPpk,What is String Theory?,68.2832
2019-08-13,TI6sY0kCPpk,What is String Theory?,68.0418
2019-08-14,TI6sY0kCPpk,What is String Theory?,68.0568
2019-08-15,TI6sY0kCPpk,What is String Theory?,68.4095
2019-08-16,TI6sY0kCPpk,What is String Theory?,69.9506
2019-08-17,TI6sY0kCPpk,What is String Theory?,69.4683
2019-08-18,TI6sY0kCPpk,What is String Theory?,70.0638
2019-08-19,TI6sY0kCPpk,What is String Theory?,67.939
2019-08-20,TI6sY0kCPpk,What is String Theory?,68.4574
2019-08-21,TI6sY0kCPpk,What is String Theory?,66.0618
2019-08-22,TI6sY0kCPpk,What is String Theory?,64.5194
2019-08-23,TI6sY0kCPpk,What is String Theory?,62.8905
2019-08-24,TI6sY0kCPpk,What is String Theory?,64.0555
2019-08-25,TI6sY0kCPpk,What is String Theory?,64.3361
2019-08-26,TI6sY0kCPpk,What is String Theory?,63.9335
2019-08-27,TI6sY0kCPpk,What is String Theory?,71.2079
2019-08-28,TI6sY0kCPpk,What is String Theory?,66.6696
2019-08-29,TI6sY0kCPpk,What is String Theory?,64.9984
2019-08-30,TI6sY0kCPpk,What is String Theory?,69.4573
2019-08-31,TI6sY0kCPpk,What is String Theory?,65.4787
2019-07-01,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-02,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-03,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-04,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-05,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-06,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-07,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-08,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-09,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-10,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-11,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-12,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-13,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-14,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-15,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-16,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-17,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-18,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-19,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-20,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-21,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-22,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,1.1686
2019-07-23,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,10.3514
2019-07-24,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,15.1115
2019-07-25,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0.4499
