date,video,video_title,views
2019-07-25,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,740
2019-07-26,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,758
2019-07-27,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,881
2019-07-28,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1093
2019-07-29,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1002
2019-07-30,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,934
2019-07-31,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1012
2019-08-01,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1205
2019-08-02,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1209
2019-08-03,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1247
2019-08-04,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1358
2019-08-05,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1389
2019-08-06,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1544
2019-08-07,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1560
2019-08-08,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1543
2019-08-09,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1396
2019-08-10,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1360
2019-08-11,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1633
2019-08-12,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1476
2019-08-13,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1460
2019-08-14,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1484
2019-08-15,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1679
2019-08-16,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1442
2019-08-17,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1415
2019-08-18,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1558
2019-08-19,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1207
2019-08-20,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1050
2019-08-21,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,951
2019-08-22,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1158
2019-08-23,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1194
2019-08-24,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1236
2019-08-25,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1378
2019-08-26,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1401
2019-08-27,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1352
2019-08-28,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1156
2019-08-29,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1139
2019-08-30,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1153
2019-08-31,GdqC2bVLesQ,Measure for Measure: Quantum Physics and Reality,1113
2019-07-01,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1521
